"","area_name","date","week","signal"
"1","East Midlands","2021-05-27",1,NA
"2","East Midlands","2021-05-28",1,NA
"3","East Midlands","2021-05-29",1,NA
"4","East Midlands","2021-05-30",1,NA
"5","East Midlands","2021-05-31",1,NA
"6","East Midlands","2021-06-01",1,NA
"7","East Midlands","2021-06-02",1,8964
"8","East Midlands","2021-06-03",2,NA
"9","East Midlands","2021-06-04",2,NA
"10","East Midlands","2021-06-05",2,NA
"11","East Midlands","2021-06-06",2,NA
"12","East Midlands","2021-06-07",2,NA
"13","East Midlands","2021-06-08",2,NA
"14","East Midlands","2021-06-09",2,3415
"15","East Midlands","2021-06-10",3,NA
"16","East Midlands","2021-06-11",3,NA
"17","East Midlands","2021-06-12",3,NA
"18","East Midlands","2021-06-13",3,NA
"19","East Midlands","2021-06-14",3,NA
"20","East Midlands","2021-06-15",3,NA
"21","East Midlands","2021-06-16",3,5055
"22","East Midlands","2021-06-17",4,NA
"23","East Midlands","2021-06-18",4,NA
"24","East Midlands","2021-06-19",4,NA
"25","East Midlands","2021-06-20",4,NA
"26","East Midlands","2021-06-21",4,NA
"27","East Midlands","2021-06-22",4,NA
"28","East Midlands","2021-06-23",4,2761
"29","East Midlands","2021-06-24",5,NA
"30","East Midlands","2021-06-25",5,NA
"31","East Midlands","2021-06-26",5,NA
"32","East Midlands","2021-06-27",5,NA
"33","East Midlands","2021-06-28",5,NA
"34","East Midlands","2021-06-29",5,NA
"35","East Midlands","2021-06-30",5,13917
"36","East Midlands","2021-07-01",6,NA
"37","East Midlands","2021-07-02",6,NA
"38","East Midlands","2021-07-03",6,NA
"39","East Midlands","2021-07-04",6,NA
"40","East Midlands","2021-07-05",6,NA
"41","East Midlands","2021-07-06",6,NA
"42","East Midlands","2021-07-07",6,14768
"43","East Midlands","2021-07-08",7,NA
"44","East Midlands","2021-07-09",7,NA
"45","East Midlands","2021-07-10",7,NA
"46","East Midlands","2021-07-11",7,NA
"47","East Midlands","2021-07-12",7,NA
"48","East Midlands","2021-07-13",7,NA
"49","East Midlands","2021-07-14",7,17697
"50","East Midlands","2021-07-15",8,NA
"51","East Midlands","2021-07-16",8,NA
"52","East Midlands","2021-07-17",8,NA
"53","East Midlands","2021-07-18",8,NA
"54","East Midlands","2021-07-19",8,NA
"55","East Midlands","2021-07-20",8,NA
"56","East Midlands","2021-07-21",8,75206
"57","East Midlands","2021-07-22",9,NA
"58","East Midlands","2021-07-23",9,NA
"59","East Midlands","2021-07-24",9,NA
"60","East Midlands","2021-07-25",9,NA
"61","East Midlands","2021-07-26",9,NA
"62","East Midlands","2021-07-27",9,NA
"63","East Midlands","2021-07-28",9,75786
"64","East Midlands","2021-07-29",10,NA
"65","East Midlands","2021-07-30",10,NA
"66","East Midlands","2021-07-31",10,NA
"67","East Midlands","2021-08-01",10,NA
"68","East Midlands","2021-08-02",10,NA
"69","East Midlands","2021-08-03",10,NA
"70","East Midlands","2021-08-04",10,109657
"71","East Midlands","2021-08-05",11,NA
"72","East Midlands","2021-08-06",11,NA
"73","East Midlands","2021-08-07",11,NA
"74","East Midlands","2021-08-08",11,NA
"75","East Midlands","2021-08-09",11,NA
"76","East Midlands","2021-08-10",11,NA
"77","East Midlands","2021-08-11",11,32246
"78","East Midlands","2021-08-12",12,NA
"79","East Midlands","2021-08-13",12,NA
"80","East Midlands","2021-08-14",12,NA
"81","East Midlands","2021-08-15",12,NA
"82","East Midlands","2021-08-16",12,NA
"83","East Midlands","2021-08-17",12,NA
"84","East Midlands","2021-08-18",12,88292
"85","East Midlands","2021-08-19",13,NA
"86","East Midlands","2021-08-20",13,NA
"87","East Midlands","2021-08-21",13,NA
"88","East Midlands","2021-08-22",13,NA
"89","East Midlands","2021-08-23",13,NA
"90","East Midlands","2021-08-24",13,NA
"91","East Midlands","2021-08-25",13,62379
"92","East Midlands","2021-08-26",14,NA
"93","East Midlands","2021-08-27",14,NA
"94","East Midlands","2021-08-28",14,NA
"95","East Midlands","2021-08-29",14,NA
"96","East Midlands","2021-08-30",14,NA
"97","East Midlands","2021-08-31",14,NA
"98","East Midlands","2021-09-01",14,90085
"99","East Midlands","2021-09-02",15,NA
"100","East Midlands","2021-09-03",15,NA
"101","East Midlands","2021-09-04",15,NA
"102","East Midlands","2021-09-05",15,NA
"103","East Midlands","2021-09-06",15,NA
"104","East Midlands","2021-09-07",15,NA
"105","East Midlands","2021-09-08",15,73231
"106","East Midlands","2021-09-09",16,NA
"107","East Midlands","2021-09-10",16,NA
"108","East Midlands","2021-09-11",16,NA
"109","East Midlands","2021-09-12",16,NA
"110","East Midlands","2021-09-13",16,NA
"111","East Midlands","2021-09-14",16,NA
"112","East Midlands","2021-09-15",16,28733
"113","East Midlands","2021-09-16",17,NA
"114","East Midlands","2021-09-17",17,NA
"115","East Midlands","2021-09-18",17,NA
"116","East Midlands","2021-09-19",17,NA
"117","East Midlands","2021-09-20",17,NA
"118","East Midlands","2021-09-21",17,NA
"119","East Midlands","2021-09-22",17,22247
"120","East Midlands","2021-09-23",18,NA
"121","East Midlands","2021-09-24",18,NA
"122","East Midlands","2021-09-25",18,NA
"123","East Midlands","2021-09-26",18,NA
"124","East Midlands","2021-09-27",18,NA
"125","East Midlands","2021-09-28",18,NA
"126","East Midlands","2021-09-29",18,25463
"127","East Midlands","2021-09-30",19,NA
"128","East Midlands","2021-10-01",19,NA
"129","East Midlands","2021-10-02",19,NA
"130","East Midlands","2021-10-03",19,NA
"131","East Midlands","2021-10-04",19,NA
"132","East Midlands","2021-10-05",19,NA
"133","East Midlands","2021-10-06",19,20350
"134","East Midlands","2021-10-07",20,NA
"135","East Midlands","2021-10-08",20,NA
"136","East Midlands","2021-10-09",20,NA
"137","East Midlands","2021-10-10",20,NA
"138","East Midlands","2021-10-11",20,NA
"139","East Midlands","2021-10-12",20,NA
"140","East Midlands","2021-10-13",20,10683
"141","East Midlands","2021-10-14",21,NA
"142","East Midlands","2021-10-15",21,NA
"143","East Midlands","2021-10-16",21,NA
"144","East Midlands","2021-10-17",21,NA
"145","East Midlands","2021-10-18",21,NA
"146","East Midlands","2021-10-19",21,NA
"147","East Midlands","2021-10-20",21,6527
"148","East Midlands","2021-10-21",22,NA
"149","East Midlands","2021-10-22",22,NA
"150","East Midlands","2021-10-23",22,NA
"151","East Midlands","2021-10-24",22,NA
"152","East Midlands","2021-10-25",22,NA
"153","East Midlands","2021-10-26",22,NA
"154","East Midlands","2021-10-27",22,14600
"155","East Midlands","2021-10-28",23,NA
"156","East Midlands","2021-10-29",23,NA
"157","East Midlands","2021-10-30",23,NA
"158","East Midlands","2021-10-31",23,NA
"159","East Midlands","2021-11-01",23,NA
"160","East Midlands","2021-11-02",23,NA
"161","East Midlands","2021-11-03",23,11654
"162","East Midlands","2021-11-04",24,NA
"163","East Midlands","2021-11-05",24,NA
"164","East Midlands","2021-11-06",24,NA
"165","East Midlands","2021-11-07",24,NA
"166","East Midlands","2021-11-08",24,NA
"167","East Midlands","2021-11-09",24,NA
"168","East Midlands","2021-11-10",24,28645
"169","East Midlands","2021-11-11",25,NA
"170","East Midlands","2021-11-12",25,NA
"171","East Midlands","2021-11-13",25,NA
"172","East Midlands","2021-11-14",25,NA
"173","East Midlands","2021-11-15",25,NA
"174","East Midlands","2021-11-16",25,NA
"175","East Midlands","2021-11-17",25,14635
"176","East Midlands","2021-11-18",26,NA
"177","East Midlands","2021-11-19",26,NA
"178","East Midlands","2021-11-20",26,NA
"179","East Midlands","2021-11-21",26,NA
"180","East Midlands","2021-11-22",26,NA
"181","East Midlands","2021-11-23",26,NA
"182","East Midlands","2021-11-24",26,13498
"183","East Midlands","2021-11-25",27,NA
"184","East Midlands","2021-11-26",27,NA
"185","East Midlands","2021-11-27",27,NA
"186","East Midlands","2021-11-28",27,NA
"187","East Midlands","2021-11-29",27,NA
"188","East Midlands","2021-11-30",27,NA
"189","East Midlands","2021-12-01",27,11897
"190","East Midlands","2021-12-02",28,NA
"191","East Midlands","2021-12-03",28,NA
"192","East Midlands","2021-12-04",28,NA
"193","East Midlands","2021-12-05",28,NA
"194","East Midlands","2021-12-06",28,NA
"195","East Midlands","2021-12-07",28,NA
"196","East Midlands","2021-12-08",28,16539
"197","East Midlands","2021-12-09",29,NA
"198","East Midlands","2021-12-10",29,NA
"199","East Midlands","2021-12-11",29,NA
"200","East Midlands","2021-12-12",29,NA
"201","East Midlands","2021-12-13",29,NA
"202","East Midlands","2021-12-14",29,NA
"203","East Midlands","2021-12-15",29,42619
"204","East Midlands","2021-12-16",30,NA
"205","East Midlands","2021-12-17",30,NA
"206","East Midlands","2021-12-18",30,NA
"207","East Midlands","2021-12-19",30,NA
"208","East Midlands","2021-12-20",30,NA
"209","East Midlands","2021-12-21",30,NA
"210","East Midlands","2021-12-22",30,NA
"211","East Midlands","2021-12-23",31,NA
"212","East Midlands","2021-12-24",31,NA
"213","East Midlands","2021-12-25",31,NA
"214","East Midlands","2021-12-26",31,NA
"215","East Midlands","2021-12-27",31,NA
"216","East Midlands","2021-12-28",31,NA
"217","East Midlands","2021-12-29",31,83751
"218","East Midlands","2021-12-30",32,NA
"219","East Midlands","2021-12-31",32,NA
"220","East Midlands","2022-01-01",32,NA
"221","East Midlands","2022-01-02",32,NA
"222","East Midlands","2022-01-03",32,NA
"223","East Midlands","2022-01-04",32,NA
"224","East Midlands","2022-01-05",32,78601
"225","East Midlands","2022-01-06",33,NA
"226","East Midlands","2022-01-07",33,NA
"227","East Midlands","2022-01-08",33,NA
"228","East Midlands","2022-01-09",33,NA
"229","East Midlands","2022-01-10",33,NA
"230","East Midlands","2022-01-11",33,NA
"231","East Midlands","2022-01-12",33,31159
"232","East Midlands","2022-01-13",34,NA
"233","East Midlands","2022-01-14",34,NA
"234","East Midlands","2022-01-15",34,NA
"235","East Midlands","2022-01-16",34,NA
"236","East Midlands","2022-01-17",34,NA
"237","East Midlands","2022-01-18",34,NA
"238","East Midlands","2022-01-19",34,21511
"239","East Midlands","2022-01-20",35,NA
"240","East Midlands","2022-01-21",35,NA
"241","East Midlands","2022-01-22",35,NA
"242","East Midlands","2022-01-23",35,NA
"243","East Midlands","2022-01-24",35,NA
"244","East Midlands","2022-01-25",35,NA
"245","East Midlands","2022-01-26",35,16922
"246","East Midlands","2022-01-27",36,NA
"247","East Midlands","2022-01-28",36,NA
"248","East Midlands","2022-01-29",36,NA
"249","East Midlands","2022-01-30",36,NA
"250","East Midlands","2022-01-31",36,NA
"251","East Midlands","2022-02-01",36,NA
"252","East Midlands","2022-02-02",36,16944
"253","East Midlands","2022-02-03",37,NA
"254","East Midlands","2022-02-04",37,NA
"255","East Midlands","2022-02-05",37,NA
"256","East Midlands","2022-02-06",37,NA
"257","East Midlands","2022-02-07",37,NA
"258","East Midlands","2022-02-08",37,NA
"259","East Midlands","2022-02-09",37,23714
"260","East Midlands","2022-02-10",38,NA
"261","East Midlands","2022-02-11",38,NA
"262","East Midlands","2022-02-12",38,NA
"263","East Midlands","2022-02-13",38,NA
"264","East Midlands","2022-02-14",38,NA
"265","East Midlands","2022-02-15",38,NA
"266","East Midlands","2022-02-16",38,19335
"267","East Midlands","2022-02-17",39,NA
"268","East Midlands","2022-02-18",39,NA
"269","East Midlands","2022-02-19",39,NA
"270","East Midlands","2022-02-20",39,NA
"271","East Midlands","2022-02-21",39,NA
"272","East Midlands","2022-02-22",39,NA
"273","East Midlands","2022-02-23",39,9863
"274","East Midlands","2022-02-24",40,NA
"275","East Midlands","2022-02-25",40,NA
"276","East Midlands","2022-02-26",40,NA
"277","East Midlands","2022-02-27",40,NA
"278","East Midlands","2022-02-28",40,NA
"279","East Midlands","2022-03-01",40,NA
"280","East Midlands","2022-03-02",40,7801
"281","East Midlands","2022-03-03",41,NA
"282","East Midlands","2022-03-04",41,NA
"283","East Midlands","2022-03-05",41,NA
"284","East Midlands","2022-03-06",41,NA
"285","East Midlands","2022-03-07",41,NA
"286","East Midlands","2022-03-08",41,NA
"287","East Midlands","2022-03-09",41,6235
"288","East Midlands","2022-03-10",42,NA
"289","East Midlands","2022-03-11",42,NA
"290","East Midlands","2022-03-12",42,NA
"291","East Midlands","2022-03-13",42,NA
"292","East Midlands","2022-03-14",42,NA
"293","East Midlands","2022-03-15",42,NA
"294","East Midlands","2022-03-16",42,19690
"295","East Midlands","2022-03-17",43,NA
"296","East Midlands","2022-03-18",43,NA
"297","East Midlands","2022-03-19",43,NA
"298","East Midlands","2022-03-20",43,NA
"299","East Midlands","2022-03-21",43,NA
"300","East Midlands","2022-03-22",43,NA
"301","East Midlands","2022-03-23",43,36454
"302","East Midlands","2022-03-24",44,NA
"303","East Midlands","2022-03-25",44,NA
"304","East Midlands","2022-03-26",44,NA
"305","East Midlands","2022-03-27",44,NA
"306","East Midlands","2022-03-28",44,NA
"307","East Midlands","2022-03-29",44,NA
"308","East Midlands","2022-03-30",44,34807
"309","East of England","2021-05-27",1,NA
"310","East of England","2021-05-28",1,NA
"311","East of England","2021-05-29",1,NA
"312","East of England","2021-05-30",1,NA
"313","East of England","2021-05-31",1,NA
"314","East of England","2021-06-01",1,NA
"315","East of England","2021-06-02",1,7291
"316","East of England","2021-06-03",2,NA
"317","East of England","2021-06-04",2,NA
"318","East of England","2021-06-05",2,NA
"319","East of England","2021-06-06",2,NA
"320","East of England","2021-06-07",2,NA
"321","East of England","2021-06-08",2,NA
"322","East of England","2021-06-09",2,1778
"323","East of England","2021-06-10",3,NA
"324","East of England","2021-06-11",3,NA
"325","East of England","2021-06-12",3,NA
"326","East of England","2021-06-13",3,NA
"327","East of England","2021-06-14",3,NA
"328","East of England","2021-06-15",3,NA
"329","East of England","2021-06-16",3,1820
"330","East of England","2021-06-17",4,NA
