date,area_type,area_code,area_name,metric,metric_name,value,week,cases_week
2021-01-11,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,3634,1,NA
2021-01-12,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,3331,1,NA
2021-01-13,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,2892,1,NA
2021-01-14,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,2866,1,NA
2021-01-15,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,2800,1,NA
2021-01-16,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,2114,1,NA
2021-01-17,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,2147,1,19784
2021-01-18,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,3331,2,NA
2021-01-19,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,3281,2,NA
2021-01-20,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,2768,2,NA
2021-01-21,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,2658,2,NA
2021-01-22,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,2367,2,NA
2021-01-23,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,1795,2,NA
2021-01-24,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,1253,2,17453
2021-01-25,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,2123,3,NA
2021-01-26,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,2371,3,NA
2021-01-27,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,2297,3,NA
2021-01-28,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,2244,3,NA
2021-01-29,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,1922,3,NA
2021-01-30,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,1514,3,NA
2021-01-31,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,1412,3,13883
2021-02-01,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,2124,4,NA
2021-02-02,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,1897,4,NA
2021-02-03,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,1814,4,NA
2021-02-04,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,1727,4,NA
2021-02-05,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,1489,4,NA
2021-02-06,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,1163,4,NA
2021-02-07,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,1137,4,11351
